The Dark Side of Mars;Manudi;100% Techno Subwoofer Records, Vol. 6 (Releases 250 / 299);5;43;ITBD61301311;Europe;Italy
Chained to a Dead Camel - Original Mix;Clouds;Radical Cutting Methods;5;26;GBZB91300202;Europe;United Kingdom
Highfalutin;Toil;First Winter;6;58;ITBD61301257;Europe;Italy
Depredation - Toby Rost Rework;Primal Beat;Depredation;6;42;GBLV61405973;Europe;United Kingdom
Your Dimension, Not Mine - Original Mix;Frixion Fanatic;Lunar E.P.;6;39;NLCK41400571;Europe;Netherlands
The Music or the Misery;Sifres;Goverment Control;7;48;GBKPL1357045;Europe;United Kingdom
Spirit Trap;Sifres;The Acid House;5;55;GBKPL1357042;Europe;United Kingdom
You and Me in Exosphere;Les Enfants Sages;Déterminé & obstiné;6;13;FR0U91204811;Europe;France
Delaycious;Les Enfants Sages;Neurotrope 013;7;15;FR0U91600978;Europe;France
Stalag 57 - Original Mix;Shmirlap;BF303;6;32;USLZJ1544322;North America;United States of America
Z.A.T. Is the Question;Les Enfants Sages;Neurotrope 013;8;14;FR0U91600977;Europe;France
AA04 Part One;Diex;AA04;7;57;GBKPL0604249;Europe;United Kingdom
Atkmparty - Original Mix;Alarach;Atkm001;5;36;RUA491482828;Europe;Russian Federation
MDMA;Pitch Mad Attak;Astroprojekt, Vol. 36;6;29;FR2W01400092;Europe;France
Machinatek;Vortek's;Spiral;6;51;FR9W11811355;Europe;France
Cyanure Dance;I Hate Models;Nigredo Edition;9;36;UKCFM1705001;missing;missing
Next Room;Alextrem;Old Skull, Vol. 3;6;09;FR2W01200052;Europe;France
Tatane;Alextrem;Antracks HS 02;11;42;QZ4JJ1745952;missing;missing
Epic Synth;Pitch Mad Attak;Astroprojekt, Vol. 34;5;25;FR2W01300067;Europe;France
Transformers - Long Version;Nout;Le Diable Au Corps Compilation 06;7;24;DEZ651336647;Europe;Germany
Dreamer;Strez;Komperes Records, Vol. 5;5;04;FR2W01100227;Europe;France
23 Diamonds;Billx;Fractal;5;54;FR0U91501285;Europe;France
Orient Hall;Alryk;Komperes Records, Vol. 9;5;51;FR2W01400108;Europe;France
Spécial solution;Sustain Release;Maxifloor, vol. 3;5;25;FR6V80654823;Europe;France
The Bass Pusher;Suburbass;Pure Mixture Compilation 01;4;32;DEZ650816365;Europe;Germany
Growler;Alryk;Toxic Vibes HS02;6;35;FR0U91203733;Europe;France
Kidnap the Sandy Claws - Korn Remix;Alryk;Machiavelik;6;04;FR26V1416799;Europe;France
She's Very Bright;Alryk;Nightmare;5;13;FR0U91501465;Europe;France
BlitzKrieg (feat. Neurotribe) - original mix;Stiwie;Earthquake EP;9;12;USLZJ1878112;North America;United States of America
Nevrotique;Neurotribe;Nevrotique;5;55;FRX281701875;Europe;France
Tribe à la carte;Gotek;Psychoquake 01;5;52;USLZJ1626285;North America;United States of America
057_Naan Pattern;Kosmo;057_Naan Pattern;5;05;FRX281739845;Europe;France
Bad Circuit;Teknambul;Psychoquake 03;5;18;USLZJ1628221;North America;United States of America
Unleashed;Obi1;Unleashed;5;14;FRX281706549;Europe;France
Final;Teknambul;Ummologik, Vol. 5;5;25;FR6V80656487;Europe;France
Nuovi luoghi;Gotek;Nuovi luoghi;6;31;FR2X41640798;Europe;France
T.23 - original mix;Stiwie;Earthquake EP;6;36;USLZJ1878113;North America;United States of America
Rodeo 303;Obi1;Rodeo 303;5;15;FR2X41899113;Europe;France
Zero "A2 Tenebreuse Musique 01";Alextrem;TM.01.94;6;40;QMPKX1778971;missing;missing
Trancecore;Watmastaz;ARCHITEK 10;5;41;FR6V80332712;Europe;France
Raw;Floxytek;The New Challengers;4;13;FR0U91701177;Europe;France
Khalinkaa;Billx;U Can't Stop the Rave;4;37;FR0U91700990;Europe;France
Melting Pot - Angry Luna Remix;Strez;O.V.N.I, Vol. 2 (Le retour - From Outer Space);6;50;FR2W01300193;Europe;France
Acide;Mat Weasel Busters;Kick Bass;5;16;CH6541821346;Europe;Switzerland
Dexstar;Sytri-x;Breakteam 15;5;45;FR6V80247830;Europe;France
Loops blunt;Jt Labo 14;OP6TEM 08;5;08;FR6V80559878;Europe;France
Monster kick - by Jt labo 14;Teknival Damage 2009;Teknival Damage 2009;7;39;FR0U91200140;Europe;France
Barbarella - The Mission;Suburbass;Astroboy, Vol. 12;8;35;FR6V80656467;Europe;France
Grosse chépère mon pote;Vortek's;Un asile abandonné;6;29;FR59R1766753;Europe;France
The Real Trip;Mat Weasel Busters;Kick Bass;5;36;CH6541821350;Europe;Switzerland
La réalité n'est pas un rêve;Vortek's;Un asile abandonné;6;09;FR59R1766762;Europe;France
Narkotek 04;Guigoo;Narkotek Soundsystem:2004-2005 (Best of);6;24;FR0U91200064;Europe;France
Psynthesis;Arcek;Arcek And Friends;7;17;DENL81402070;Europe;Germany
Magic Bike;HIGHKO;Daily Dose;7;50;DECM11626401;Europe;Germany
Shankara;Billx;U Can't Stop the Rave;5;41;FR0U91700987;Europe;France
Sax;Billx;Punishment;6;56;FR0U91402514;Europe;France
Empoisonner l'esprit;Vortek's;Empoisonner l'esprit;6;27;FR9W11820350;Europe;France
Moutain king;Keygen Kaotik;Best of Keygen Kaotik;6;15;FR0U91200121;Europe;France
Everybody;Fant4stik;Everybody;4;32;FR0U91601633;Europe;France
Acid Vibes;Billx;U Can't Stop the Rave;5;36;FR0U91700984;Europe;France
Such a Pity;Vandal;Kaotik 10;6;60;FR0U91601124;Europe;France
Kutsoto Magare - Frenchcore to Psytrance;Billx;Kutsoto Magare (Frenchcore to Psytrance);3;54;FR9W11810662;Europe;France
San Pedro - Original Mix;HIGHKO;Dirty Friends & Freaks;6;45;GBKQU1614944;Europe;United Kingdom
Hoo Ruck;HIGHKO;2nd Dose;7;31;DECM11626506;Europe;Germany
Saturn-Moon-Matrix - Original Mix;Dark Whisper;Realms of Unseen;8;56;GBKQU1688167;Europe;United Kingdom
Escalation;HIGHKO;Noise Brothers on Poison;8;02;DECM10805905;Europe;Germany
Attaque Tangible;Labo 14;Pure Mixture Compilation 01;4;47;DEZ650816360;Europe;Germany
Autonoma;PMS23;Psychoquake 08;7;09;USLZJ1708708;North America;United States of America
Unknown Destinations;Paralocks;Fungus Fabulas;6;27;DENL81400369;Europe;Germany
King;Wems;Toxic Vibes 08;5;54;FR0U91204163;Europe;France
Apokalypsa;Suburbass;Astroboy, Vol. 8;5;50;FR6V80656481;Europe;France
Bass Addiction;Alryk;Nightmare;5;13;FR0U91501466;Europe;France
